CrashConditionsKey,LocalCaseNumber,StreetName,StreetType,TrafficControl,CollisionType,Weather,SurfaceCondition,Light
1,1800,GROSVENOR LA,County,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT
2,17052,FATHER HURLEY BLVD,County,YIELD SIGN,SAME DIR REAR END,RAINING,N/A,DAYLIGHT
3,54142,BAUER DR,County,NO CONTROLS,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON
4,55122,MONTGOMERY VILLAGE AVE,Maryland (State),NO CONTROLS,SAME DIR REAR END,FOGGY,DRY,DAYLIGHT
5,190042,BETTSWOOD DR,County,N/A,SAME DIRECTION RIGHT TURN,RAINING,NULL,DAYLIGHT
6,1502229,THOMAS DR,County,NO CONTROLS,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT
7,1502815,OXBRIDGE DR,County,TRAFFIC SIGNAL,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT
8,1600347,WATER ST (AHEAD),Municipality,N/A,HEAD ON LEFT TURN,N/A,WET,DARK LIGHTS ON
9,1753526,TUCKER LA,County,N/A,OTHER,CLOUDY,NULL,DAYLIGHT
10,1800109,MUDDY BRANCH RD,County,TRAFFIC SIGNAL,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON
11,1900984,FIELDS RD,County,NO CONTROLS,OTHER,CLEAR,NULL,DAYLIGHT
12,11032675,FERNWOOD RD,County,NO CONTROLS,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT
13,14002582,REDLAND RD,County,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT
14,14063709,RAMP 1 FR RAMP 8 (FR IS270) TO MD 124 EB,Ramp,NO CONTROLS,SINGLE VEHICLE,CLOUDY,WET,DAYLIGHT
15,14064779,DILSTON RD,County,TRAFFIC SIGNAL,STRAIGHT MOVEMENT ANGLE,CLEAR,WET,DAYLIGHT
16,15000008,SPUR TO RUSSELL AVE,Unknown,TRAFFIC SIGNAL,HEAD ON LEFT TURN,RAINING,WET,DARK NO LIGHTS
17,15000016,FIELDCREST RD,County,N/A,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON
18,15000017,KINGSLEY RD,County,TRAFFIC SIGNAL,SAME DIR REAR END,CLEAR,SNOW,DAYLIGHT
19,15000025,RAMP 9 FR IS 370 EB TO SHADY GROVE RD,Ramp,TRAFFIC SIGNAL,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON
20,15000026,ROAD END,Unknown,NO CONTROLS,SINGLE VEHICLE,CLEAR,ICE,DAYLIGHT
21,15000029,VEIRS MILL RD,Maryland (State),NO CONTROLS,SINGLE VEHICLE,CLOUDY,NULL,DAYLIGHT
22,15000039,HORIZON RUN RD,County,NO CONTROLS,SINGLE VEHICLE,RAINING,WET,DARK NO LIGHTS
23,15000041,MIDDLE RD,County,TRAFFIC SIGNAL,HEAD ON,N/A,N/A,DARK LIGHTS ON
24,15000043,KAYSON ST,County,N/A,OTHER,CLEAR,NULL,DAYLIGHT
25,15000059,GERMANTOWN RD,County,N/A,SAME DIRECTION LEFT TURN,CLOUDY,WET,DAYLIGHT
26,15000069,GARLAND AVE,County,NO CONTROLS,HEAD ON,FOGGY,WET,N/A
27,15000070,HOLDRIDGE RD,County,NO CONTROLS,SINGLE VEHICLE,CLOUDY,UNKNOWN,DAYLIGHT
28,15000078,STRUC #15043,Unknown,NO CONTROLS,SINGLE VEHICLE,RAINING,WET,DAYLIGHT
