CarCrashDateKey,CrashDate,DayOfWeek_,DayType,DayOfMonth_,Month_,Quarter_,Year_
1,01/01/15,Thursday       ,Weekday             ,1,1,Q1,2015
2,02/01/15,Friday         ,Weekday             ,2,1,Q1,2015
3,03/01/15,Saturday       ,Weekend             ,3,1,Q1,2015
4,04/01/15,Sunday         ,Weekend             ,4,1,Q1,2015
5,05/01/15,Monday         ,Weekday             ,5,1,Q1,2015
6,06/01/15,Tuesday        ,Weekday             ,6,1,Q1,2015
7,07/01/15,Wednesday      ,Weekday             ,7,1,Q1,2015
8,08/01/15,Thursday       ,Weekday             ,8,1,Q1,2015
9,09/01/15,Friday         ,Weekday             ,9,1,Q1,2015
10,10/01/15,Saturday       ,Weekend             ,10,1,Q1,2015
11,11/01/15,Sunday         ,Weekend             ,11,1,Q1,2015
12,12/01/15,Monday         ,Weekday             ,12,1,Q1,2015
13,13/01/15,Tuesday        ,Weekday             ,13,1,Q1,2015
14,14/01/15,Wednesday      ,Weekday             ,14,1,Q1,2015
15,15/01/15,Thursday       ,Weekday             ,15,1,Q1,2015
16,16/01/15,Friday         ,Weekday             ,16,1,Q1,2015
17,17/01/15,Saturday       ,Weekend             ,17,1,Q1,2015
18,18/01/15,Sunday         ,Weekend             ,18,1,Q1,2015
19,19/01/15,Monday         ,Weekday             ,19,1,Q1,2015
20,20/01/15,Tuesday        ,Weekday             ,20,1,Q1,2015
21,21/01/15,Wednesday      ,Weekday             ,21,1,Q1,2015
22,22/01/15,Thursday       ,Weekday             ,22,1,Q1,2015
23,23/01/15,Friday         ,Weekday             ,23,1,Q1,2015
24,24/01/15,Saturday       ,Weekend             ,24,1,Q1,2015
25,25/01/15,Sunday         ,Weekend             ,25,1,Q1,2015
26,26/01/15,Monday         ,Weekday             ,26,1,Q1,2015
27,27/01/15,Tuesday        ,Weekday             ,27,1,Q1,2015
28,28/01/15,Wednesday      ,Weekday             ,28,1,Q1,2015
29,29/01/15,Thursday       ,Weekday             ,29,1,Q1,2015
30,30/01/15,Friday         ,Weekday             ,30,1,Q1,2015
31,31/01/15,Saturday       ,Weekend             ,31,1,Q1,2015
32,01/02/15,Sunday         ,Weekend             ,1,2,Q1,2015
33,02/02/15,Monday         ,Weekday             ,2,2,Q1,2015
34,03/02/15,Tuesday        ,Weekday             ,3,2,Q1,2015
35,04/02/15,Wednesday      ,Weekday             ,4,2,Q1,2015
36,05/02/15,Thursday       ,Weekday             ,5,2,Q1,2015
37,06/02/15,Friday         ,Weekday             ,6,2,Q1,2015
38,07/02/15,Saturday       ,Weekend             ,7,2,Q1,2015
