VehicleKey,PersonKey,CrashConditionsKey,CaseKey,CarCrashDateKey,TimeOfDay
1,1,1,1,1,0:30:00
2,2,2,2,1,1:10:00
3,3,3,3,1,1:14:00
4,4,4,4,1,1:26:00
5,5,5,5,1,2:00:00
6,6,6,6,1,2:24:00
7,7,7,7,1,2:33:00
8,8,8,8,1,4:00:00
9,9,9,9,1,5:33:00
10,10,10,10,1,5:42:00
11,11,11,11,1,7:35:00
12,12,12,12,1,10:00:00
13,13,13,13,1,11:58:00
14,14,14,14,1,12:20:00
15,15,15,15,1,13:19:00
16,16,16,16,1,14:10:00
17,17,17,17,1,15:18:00
18,18,18,18,1,15:19:00
19,19,19,19,1,16:22:00
20,20,20,20,1,17:00:00
21,21,21,21,1,18:00:00
22,22,22,22,1,19:52:00
23,23,23,23,1,20:54:00
24,24,24,24,1,21:01:00
25,25,25,25,2,0:19:00
26,26,26,26,2,0:55:00
27,27,27,27,2,1:18:00
28,28,28,28,2,1:44:00
29,29,29,29,2,3:51:00
30,30,30,30,2,6:00:00
31,31,31,31,2,6:55:00
32,32,32,32,2,10:21:00
33,33,33,33,2,10:51:00
34,34,34,34,2,10:56:00
35,35,35,35,2,11:28:00
36,36,36,36,2,11:55:00
37,37,37,37,2,12:35:00
38,38,38,38,2,12:39:00
39,39,39,39,2,12:41:00
40,40,40,40,2,15:00:00
41,41,41,41,2,18:31:00
42,42,42,42,2,20:07:00
43,43,43,43,2,23:15:00
44,44,44,44,2,23:19:00
45,45,45,45,2,23:27:00
46,46,46,46,3,0:00:00
47,47,47,47,3,0:15:00
48,48,48,48,3,2:49:00
49,49,49,49,3,3:51:00
50,50,50,50,3,3:58:00
51,51,51,51,3,4:45:00
52,52,52,52,3,6:39:00
53,53,53,53,3,8:53:00
54,54,54,54,3,12:15:00
55,55,55,55,3,12:33:00
56,56,56,56,3,13:19:00
57,57,57,57,3,14:27:00
58,58,58,58,3,15:17:00
59,59,59,59,3,16:31:00
60,60,60,60,3,17:22:00
61,61,61,61,3,18:29:00
62,62,62,62,3,19:14:00
63,63,63,63,3,19:39:00
64,64,64,64,3,21:10:00
65,65,65,65,3,22:12:00
66,66,66,66,3,22:22:00
67,67,67,67,4,2:23:00
68,68,68,68,4,5:08:00
69,69,69,69,4,6:55:00
70,70,70,70,4,6:57:00
71,71,71,71,4,8:35:00
72,72,72,72,4,9:01:00
73,73,73,73,4,9:30:00
74,74,74,74,4,12:52:00
75,75,75,75,4,13:56:00
76,76,76,76,4,14:18:00
77,77,77,77,4,14:37:00
78,78,78,78,4,14:54:00
79,79,79,79,4,15:05:00
80,80,80,80,4,15:34:00
81,81,81,81,4,16:28:00
82,82,82,82,4,16:58:00
83,83,83,83,4,17:12:00
84,84,84,84,4,17:34:00
85,85,85,85,4,18:05:00
86,86,86,86,4,18:20:00
87,87,87,87,4,18:41:00
88,88,88,88,4,18:49:00
89,89,89,89,4,18:51:00
90,90,90,90,4,19:01:00
91,91,91,91,4,19:55:00
92,92,92,92,4,21:41:00
93,93,93,93,5,2:15:00
94,94,94,94,5,6:10:00
95,95,95,95,5,7:46:00
96,96,96,96,5,8:50:00
97,97,97,97,5,9:05:00
98,98,98,98,5,12:18:00
99,99,99,99,5,12:46:00
100,100,100,100,5,14:05:00
