VehicleKey,VehicleID,VehicleBodyType,VehicleDamageExtent,VehicleMovement,SpeedLimit,DriverlessVehicle,ParkedVehicle,VehicleYear,EquipmentProblem
1,AF0DBBDA-0CA4-4391-A1A7-32A0CC0B7056,PASSENGER CAR,SUPERFICIAL,MOVING CONSTANT SPEED,35,No,No,2012,N/A
2,E073D1A1-3372-4F13-929F-3C03CAE1FC3A,PASSENGER CAR,NO DAMAGE,STOPPED IN TRAFFIC LANE,30,No,No,2011,N/A
3,E9EA56B2-5BC4-4C5D-897F-7AF61F81BB20,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,50,No,No,2007,UNKNOWN
4,2D243682-B511-4E32-B1E0-09E4AE01DF3B,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2011,NO MISUSE
5,6481672B-42CC-4D0C-BD0A-D8D3AFEF4A3B,PASSENGER CAR,FUNCTIONAL,STARTING FROM PARKED,10,No,No,2017,UNKNOWN
6,E9925348-D629-47E9-86CB-1DD51B717062,PICKUP TRUCK,DISABLING,MOVING CONSTANT SPEED,30,No,No,2004,NO MISUSE
7,D4BB7B68-A4D7-4564-99B7-6F353DD36D89,VAN,SUPERFICIAL,CHANGING LANES,45,No,No,2011,NO MISUSE
8,49C14A6E-0E26-4A89-AB16-4C937E248415,NULL,UNKNOWN,MOVING CONSTANT SPEED,30,No,No,0,UNKNOWN
9,09BA917C-00E6-440E-B71D-E6B3A8C7F20E,PASSENGER CAR,SUPERFICIAL,BACKING,10,No,No,2004,NO MISUSE
10,3D102CA9-6A0E-4ED3-A45C-D75AD901A9B2,PASSENGER CAR,DISABLING,MOVING CONSTANT SPEED,40,No,No,2015,UNKNOWN
11,D792EAA1-DCC6-4BDA-81EF-73BC7B7DD12B,PASSENGER CAR,SUPERFICIAL,BACKING,15,No,No,2004,NO MISUSE
12,3A664E0E-BCC3-497D-A228-C2C166BD583B,PASSENGER CAR,SUPERFICIAL,STOPPED IN TRAFFIC LANE,30,No,No,2015,NO MISUSE
13,51D05D98-7CFE-4E54-AF9A-1A9ECF97680F,PASSENGER CAR,FUNCTIONAL,MAKING LEFT TURN,25,No,No,2010,N/A
